lt,rt,lp,rp,lv,rv
1290.0,1275.0,0.9881069,0.8481979,0.0,0.0
17688.0,17617.0,1.001223,0.8569423,28.0,18.0
39890.0,39810.0,1.053689,0.9006638,82.0,68.0
57015.0,56935.0,1.088666,0.9356411,71.0,71.0
79214.0,79142.0,1.123644,0.9662461,55.0,48.0
96372.0,96293.0,1.162993,0.9968512,80.0,62.0
118573.0,118499.0,1.224203,1.053689,96.0,89.0
140856.0,140781.0,1.285413,1.114899,96.0,96.0
158061.0,157981.0,1.329135,1.158621,88.0,88.0
180348.0,180277.0,1.385973,1.211087,89.0,82.0
197635.0,197554.0,1.429695,1.254808,88.0,88.0
219925.0,219851.0,1.486533,1.307274,89.0,82.0
236705.0,236625.0,1.530254,1.350996,91.0,91.0
259419.0,259347.0,1.587092,1.403461,87.0,80.0
276197.0,276118.0,1.630814,1.447183,91.0,91.0
298954.0,298880.0,1.68328,1.499649,80.0,80.0
321157.0,321083.0,1.735745,1.552115,82.0,82.0
337937.0,337856.0,1.779467,1.595836,91.0,91.0
360654.0,360580.0,1.836305,1.648302,87.0,80.0
377433.0,377353.0,1.875654,1.692024,82.0,91.0
400187.0,400115.0,1.932492,1.744489,87.0,80.0
416970.0,416890.0,1.976214,1.783839,91.0,82.0
439262.0,439191.0,2.02868,1.840677,82.0,89.0
456386.0,456307.0,2.072401,1.884398,89.0,89.0
478677.0,478603.0,2.124867,1.941236,82.0,89.0
501429.0,501357.0,2.181705,1.998075,87.0,87.0
518211.0,518133.0,2.221055,2.037424,82.0,82.0
540498.0,540424.0,2.277893,2.094262,89.0,89.0
557705.0,557625.0,2.321614,2.133611,88.0,80.0
579988.0,579914.0,2.37408,2.190449,82.0,89.0
597149.0,597070.0,2.417801,2.229799,89.0,80.0
619439.0,619366.0,2.470267,2.286637,82.0,89.0
636220.0,636141.0,2.509617,2.325986,82.0,82.0
658936.0,658862.0,2.566455,2.382824,87.0,87.0
681224.0,681151.0,2.623293,2.43529,89.0,82.0
698385.0,698307.0,2.662642,2.479011,80.0,89.0
720670.0,720596.0,2.71948,2.531477,89.0,82.0
737361.0,737282.0,2.758829,2.570827,82.0,82.0
760073.0,760001.0,2.815667,2.627665,87.0,87.0
776855.0,776774.0,2.855017,2.667014,82.0,82.0
799614.0,799540.0,2.911855,2.723852,87.0,87.0
816394.0,816314.0,2.951204,2.763201,82.0,82.0
838680.0,838606.0,3.00367,2.820039,82.0,89.0
861303.0,861230.0,3.060508,2.876877,87.0,87.0
878085.0,878005.0,3.104229,2.916227,91.0,82.0
900839.0,900765.0,3.156695,2.968693,80.0,80.0
917622.0,917541.0,3.196045,3.008042,82.0,82.0
939910.0,939836.0,3.252883,3.06488,89.0,89.0
957035.0,956954.0,3.292232,3.108601,80.0,89.0
979320.0,979248.0,3.34907,3.161067,89.0,82.0
996481.0,996401.0,3.392792,3.200417,89.0,80.0
