x,y
3.015894,0.002904943
6.450231,-0.004726377
10.09984,-0.06150207
14.1626,-0.1698675
18.50993,-0.3099957
23.10135,-0.4630992
27.85759,-0.6269893
32.5942,-0.7796652
37.27719,-0.9254047
41.81961,-1.056666
46.30827,-1.181382
50.71458,-1.298911
55.09991,-1.411004
59.36761,-1.524836
63.49926,-1.644227
67.06911,-1.759295
70.14178,-1.85492
73.23469,-1.923662
76.92152,-1.989212
81.1348,-1.980471
85.25604,-1.843655
89.1516,-1.653628
92.90813,-1.386603
96.78044,-1.050734
100.9164,-0.6363717
105.1308,-0.1715338
109.3861,0.3217545
113.5668,0.8016929
117.7756,1.280108
121.7979,1.723757
125.7011,2.145493
129.4698,2.544226
133.1736,2.931926
136.9391,3.326084
140.7949,3.729692
144.7099,4.143902
148.6604,4.570748
152.5501,4.995389
156.3765,5.417431
160.145,5.833084
163.8493,6.237485
167.7971,6.672914
171.7512,7.109034
175.8107,7.552217
179.7932,7.960149
183.7484,8.338654
187.6517,8.690318
191.5668,9.016753
195.544,9.335022
199.5539,9.620056
203.4672,9.872014
207.2512,10.10298
211.001,10.29008
214.7806,10.44499
218.6845,10.57459
222.7498,10.6779
226.7891,10.76708
230.8592,10.84337
234.8924,10.90552
238.9899,10.92767
242.9751,10.90937
246.81,10.85397
250.6945,10.75468
254.6431,10.60983
258.645,10.42295
262.593,10.22098
266.5105,9.985648
270.4077,9.729804
274.3725,9.425235
278.3916,9.089531
282.4368,8.692738
286.3496,8.282572
290.2149,7.833916
294.1438,7.35574
298.2985,6.84071
302.4251,6.32451
306.5227,5.811937
310.3902,5.328144
314.2927,4.835573
318.1432,4.349566
322.0757,3.853215
326.01,3.365497
330.0003,2.88435
333.8291,2.431309
337.7221,1.979441
341.623,1.535427
345.5748,1.072284
349.559,0.5828898
353.464,0.08999846
357.543,-0.434058
361.4219,-0.9543313
365.3341,-1.505644
369.098,-2.061673
372.928,-2.631826
376.7239,-3.192586
380.5652,-3.738258
384.524,-4.269251
388.1828,-4.718678
391.5891,-5.094893
395.1153,-5.436828
399.0691,-5.753803
403.3446,-6.02018
407.3091,-6.187673
411.134,-6.259929
414.7825,-6.243714
418.5207,-6.164784
422.3306,-6.088576
426.3057,-6.075325
430.2901,-6.128454
434.2354,-6.224913
438.2402,-6.340641
442.3134,-6.462873
446.5228,-6.584514
450.5923,-6.688535
454.5973,-6.782002
458.4664,-6.855093
462.2735,-6.91009
466.18,-6.944815
470.0727,-6.953466
474.1258,-6.944459
478.0125,-6.931503
482.0231,-6.922591
485.9225,-6.922591
489.8918,-6.940233
493.7266,-6.982843
497.6869,-7.048855
501.6091,-7.122951
505.5801,-7.180314
509.4112,-7.214369
513.3423,-7.223105
517.2516,-7.20573
521.2473,-7.170212
525.1409,-7.10589
529.0675,-7.010469
532.837,-6.885331
536.615,-6.738894
540.3619,-6.593663
544.3499,-6.434649
548.4073,-6.268351
552.4471,-6.098282
556.4081,-5.940341
560.4252,-5.811452
564.571,-5.715315
568.6698,-5.633933
572.6828,-5.589935
576.5617,-5.568959
580.5102,-5.551993
584.46,-5.526244
588.441,-5.478173
592.4729,-5.407083
596.5036,-5.314207
600.5565,-5.19829
604.5687,-5.05676
608.5543,-4.88956
612.5668,-4.689955
616.5661,-4.464269
620.5336,-4.213834
624.4935,-3.950625
628.3915,-3.695882
632.2786,-3.454858
636.1165,-3.221168
639.9849,-2.994246
643.9402,-2.784264
647.9536,-2.580148
652.0013,-2.378795
655.9759,-2.189931
659.9513,-2.018733
663.1088,-1.900327
666.1679,-1.809432
669.9724,-1.746581
675.334,-1.800992
681.3729,-2.090627
687.2333,-2.541684
692.9414,-3.096042
698.614,-3.761704
704.4062,-4.500207
