lt,rt,lp,rp,lv,rv
1111.0,1069.0,-0.02186078,0.004372155,0.0,0.0
17419.0,17273.0,-0.004372155,0.02623293,37.0,47.0
40047.0,39904.0,0.05683801,0.09618741,94.0,108.0
62106.0,61964.0,0.09618741,0.1267925,62.0,48.0
78473.0,78327.0,0.1224203,0.1442811,56.0,37.0
100646.0,100498.0,0.1792583,0.2142356,89.0,110.0
117186.0,117044.0,0.227352,0.2710736,101.0,120.0
139696.0,139547.0,0.2754457,0.3060508,74.0,54.0
161621.0,161474.0,0.3191673,0.3497724,69.0,69.0
178061.0,177916.0,0.3585167,0.3978661,83.0,102.0
200511.0,200365.0,0.4197268,0.4547041,95.0,88.0
222439.0,222295.0,0.4721927,0.4896813,83.0,55.0
239350.0,239205.0,0.4984256,0.5290307,54.0,81.0
261266.0,261119.0,0.5552636,0.5902409,90.0,97.0
277701.0,277554.0,0.5989852,0.6252181,93.0,74.0
300047.0,299899.0,0.6427068,0.6776839,68.0,82.0
321972.0,321825.0,0.6951726,0.7388941,83.0,97.0
338879.0,338734.0,0.7476385,0.7782435,108.0,81.0
360893.0,360745.0,0.7957321,0.8307094,76.0,83.0
377329.0,377182.0,0.8307094,0.8744308,74.0,93.0
399670.0,399523.0,0.8875474,0.9268968,89.0,82.0
421594.0,421448.0,0.9400133,0.9749905,83.0,76.0
438497.0,438352.0,0.9793627,1.018712,81.0,90.0
460324.0,460176.0,1.031829,1.07555,84.0,91.0
481980.0,481833.0,1.084294,1.119272,84.0,70.0
498665.0,498522.0,1.123644,1.154249,82.0,73.0
520400.0,520253.0,1.17611,1.211087,84.0,91.0
537039.0,536892.0,1.219831,1.254808,92.0,91.0
558770.0,558623.0,1.267925,1.307274,77.0,84.0
580510.0,580363.0,1.320391,1.35974,84.0,84.0
597106.0,596961.0,1.364112,1.403462,92.0,92.0
618833.0,618687.0,1.416578,1.455927,84.0,84.0
641040.0,640892.0,1.469044,1.504021,82.0,75.0
657291.0,657146.0,1.508393,1.54337,84.0,84.0
678931.0,678783.0,1.565231,1.604581,91.0,98.0
701092.0,700945.0,1.613325,1.657047,75.0,82.0
717345.0,717199.0,1.652675,1.687652,84.0,65.0
739542.0,739394.0,1.709513,1.748862,89.0,96.0
761278.0,761131.0,1.761978,1.8057,84.0,91.0
777359.0,777214.0,1.796956,1.836305,76.0,66.0
799512.0,799365.0,1.853794,1.893143,89.0,89.0
821249.0,821101.0,1.910632,1.954353,91.0,98.0
837967.0,837822.0,1.949981,1.98933,82.0,73.0
859603.0,859456.0,2.002447,2.037424,84.0,77.0
881332.0,881186.0,2.054913,2.098634,84.0,98.0
898010.0,897865.0,2.094262,2.137984,82.0,82.0
919730.0,919581.0,2.146728,2.186077,84.0,77.0
941926.0,941780.0,2.203566,2.238543,89.0,82.0
958174.0,958029.0,2.242915,2.282265,84.0,94.0
979893.0,979745.0,2.291009,2.330359,77.0,77.0
1002043.0,1001896.0,2.347847,2.382824,89.0,82.0
1018454.0,1018309.0,2.391569,2.426546,93.0,93.0
1040804.0,1040658.0,2.439662,2.479012,75.0,82.0
1057215.0,1057068.0,2.479012,2.513989,83.0,74.0
1079096.0,1078949.0,2.531478,2.575199,83.0,97.0
1101410.0,1101263.0,2.588316,2.627665,89.0,82.0
1117821.0,1117677.0,2.627665,2.65827,83.0,65.0
1140081.0,1139933.0,2.684503,2.71948,89.0,96.0
1161875.0,1161728.0,2.732597,2.776318,77.0,91.0
1178285.0,1178140.0,2.767574,2.811296,74.0,74.0
1200588.0,1200441.0,2.828784,2.868134,96.0,89.0
1216999.0,1216852.0,2.872506,2.911855,93.0,93.0
