obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
905.9771,2.758741,899.9122,38.89579
915.8274,2.770963,903.796,39.233
921.87,2.799852,911.6304,39.91777
927.9137,2.816519,915.6302,40.27138
933.8807,2.850963,923.2476,40.94899
938.1066,2.863185,927.1548,41.29878
944.7372,2.890963,934.9456,41.99982
951.6218,2.904296,938.9481,42.36362
957.7212,2.932074,946.8123,43.08257
962.7877,2.946519,950.7999,43.44991
965.8564,2.976519,958.7756,44.17985
975.7612,2.990963,962.7853,44.55341
982.1069,3.009852,970.4399,45.26902
987.4041,3.016519,974.4015,45.64086
994.0867,3.032074,982.4501,46.39981
998.3432,3.043185,986.2422,46.75968
1005.403,3.070963,993.9113,47.48892
1011.721,3.089852,997.9728,47.88179
1017.879,3.133185,1006.041,48.66937
1023.001,3.15763,1010.227,49.08232
1030.003,3.208741,1018.052,49.85862
1035.479,3.234296,1022.005,50.25597
1042.254,3.279852,1029.891,51.05456
1047.704,3.294296,1033.752,51.44857
1053.597,3.31763,1041.416,52.235
1058.116,3.330963,1045.342,52.64037
1064.066,3.362074,1053.273,53.46411
1071.481,3.375407,1057.255,53.88065
1077.589,3.400963,1065.123,54.70776
1082.504,3.415407,1069.134,55.13203
1089.788,3.445407,1076.448,55.90814
1095.458,3.463185,1080.568,56.34976
1101.81,3.496519,1088.575,57.21368
1107.402,3.513185,1092.543,57.64508
1113.667,3.548741,1100.338,58.49804
1118.197,3.563185,1104.389,58.94431
1125.49,3.590963,1112.036,59.78773
1131.661,3.603185,1116.028,60.2336
1137.743,3.625407,1123.815,61.10645
1142.512,3.635407,1127.755,61.54985
1145.934,3.652074,1135.395,62.40447
1155.212,3.65763,1139.377,62.85428
1161.6,3.668741,1147.358,63.75759
1167.189,3.675407,1151.323,64.20753
1173.812,3.693185,1159.363,65.12327
1178.142,3.702074,1163.322,65.5762
1183.78,3.723185,1171.256,66.48732
1191.646,3.735407,1175.301,66.95465
1197.894,3.763185,1183.315,67.8848
1202.887,3.77763,1187.368,68.35757
1210.175,3.808741,1195.175,69.27122
1215.739,3.824296,1199.115,69.73622
1220.919,3.844296,1206.778,70.6429
1227.744,3.856519,1210.8,71.12208
1233.99,3.878741,1218.535,72.04723
1238.293,3.889852,1222.413,72.51288
1244.017,3.913185,1229.669,73.38787
1251.77,3.924296,1233.49,73.8512
1257.66,3.949852,1241.348,74.8023
1263.211,3.962074,1245.176,75.2703
1270.106,3.98763,1252.701,76.19283
1275.84,4.000963,1256.719,76.68909
1281.213,4.028741,1264.819,77.69169
1288.253,4.040963,1268.779,78.18559
1293.895,4.063186,1276.219,79.11184
1298.64,4.073186,1280.332,79.62846
1304.232,4.093185,1288.354,80.64052
1312.033,4.108741,1292.279,81.13899
1318.068,4.136518,1299.998,82.1191
