obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
880.2952,2.274297,861.8976,36.05668
884.9142,2.292075,865.7599,36.38842
892.2375,2.315408,873.5617,37.06518
897.6713,2.329852,877.5725,37.41656
904.3024,2.359852,885.485,38.11518
908.6866,2.374297,889.5013,38.47215
916.5826,2.403185,897.053,39.14655
922.1556,2.416519,901.0799,39.51014
928.3146,2.438741,908.9009,40.21988
933.9026,2.446519,912.898,40.58519
940.5254,2.459852,920.8205,41.30659
945.217,2.466519,924.6827,41.6616
951.7023,2.478741,932.2677,42.36013
958.2271,2.488741,936.3248,42.73675
963.4758,2.512074,944.4066,43.4888
969.137,2.523185,948.5547,43.87768
976.366,2.544297,956.3759,44.61322
981.4645,2.554296,960.325,44.98736
988.1729,2.570963,968.1512,45.73221
994.2122,2.57763,972.1168,46.11177
1000.472,2.596519,979.9357,46.86317
1005.236,2.60763,983.8112,47.23748
1011.193,2.632074,991.6024,47.99189
1017.689,2.643185,995.603,48.38242
1024.033,2.668741,1003.287,49.13609
1028.334,2.679852,1007.253,49.52695
1036.293,2.700963,1015.148,50.30726
1042.08,2.713185,1019.211,50.71186
1048.318,2.735408,1027.081,51.49485
1054.299,2.746519,1031.11,51.90028
1060.458,2.772074,1039.072,52.70096
1065.242,2.785408,1042.978,53.09822
1071.174,2.813185,1050.617,53.87543
1077.638,2.829852,1054.631,54.28926
1084.316,2.862074,1062.648,55.12141
1088.712,2.878741,1066.651,55.5397
1096.371,2.916519,1073.951,56.30544
1102.047,2.932074,1078.027,56.73745
1108.551,2.960963,1085.937,57.58046
1114.529,2.972074,1089.97,58.01316
1120.614,2.998741,1097.86,58.85918
1125.328,3.012074,1101.65,59.26909
1130.522,3.024296,1109.44,60.11345
1138.004,3.026519,1113.491,60.55341
1143.424,3.034296,1121.214,61.39249
1149.11,3.043185,1125.026,61.80943
1156.239,3.06763,1132.87,62.6707
1162.019,3.082074,1136.954,63.12375
1168.206,3.115407,1144.67,63.98498
1174.305,3.133185,1148.618,64.429
1179.356,3.164296,1155.967,65.25782
1185.438,3.179852,1160.005,65.71675
1190.511,3.212074,1167.724,66.59807
1197.874,3.229852,1171.664,67.0515
1203.436,3.262074,1179.316,67.93437
1209.266,3.275408,1183.123,68.37665
1216.607,3.296519,1190.76,69.26598
1222.343,3.305408,1194.744,69.73288
1228.564,3.320963,1202.616,70.65807
1234.544,3.329852,1206.526,71.11923
1240.572,3.345407,1214.082,72.00954
1245.268,3.355407,1217.995,72.47458
1250.451,3.383185,1225.886,73.4164
1258.088,3.39763,1229.775,73.88371
1264.507,3.42763,1237.621,74.83087
1268.956,3.440963,1241.676,75.32239
1276.323,3.468741,1249.465,76.26936
1281.958,3.480963,1253.4,76.75172
1288.135,3.509852,1261.141,77.70544
1293.574,3.525408,1265.167,78.20446
1299.139,3.563185,1272.974,79.1753
1305.43,3.580963,1276.934,79.67205
1310.233,3.604296,1284.564,80.63409
1317.59,3.619852,1288.464,81.1293
1324.128,3.650963,1296.445,82.14807
1328.586,3.666519,1300.51,82.66953
1336.331,3.695408,1308.265,83.66801
1342.194,3.709852,1312.057,84.16065
1348.436,3.738741,1319.806,85.1679
1354.1,3.754297,1323.664,85.67459
1360.226,3.786519,1331.316,86.6843
1365.049,3.806519,1335.247,87.20555
1370.465,3.822074,1342.825,88.21352
1377.526,3.834296,1346.777,88.7416
1384.225,3.859852,1354.639,89.79654
1388.743,3.874296,1358.751,90.35052
1396.418,3.902074,1366.203,91.35745
1401.998,3.916519,1369.86,91.855
1408.117,3.943185,1377.785,92.93174
1414.2,3.95763,1381.649,93.46262
1420.366,3.988741,1389.469,94.53748
1425.274,4.013186,1393.305,95.06947
1430.403,4.03763,1401.078,96.15244
1437.438,4.052074,1405.043,96.70805
1444.292,4.075408,1412.837,97.80449
1448.615,4.084297,1416.735,98.35482
