=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.10.22 16:32:01 =~=~=~=~=~=~=~=~=~=~=~=
600,566,0,0,0,0
15942,15596,0,1,0,66
35849,35479,2,6,100,251
56384,56017,4,13,97,340
76490,76118,8,22,198,447
97111,96743,11,32,145,484
117389,117018,15,42,197,493
137832,137465,19,53,195,537
158697,158325,23,64,191,527
179135,178768,27,76,195,586
200024,199654,32,87,239,526
216065,215699,36,97,249,623
236519,236147,40,108,195,537
257493,257124,46,120,286,572
418636,418267,86,213,243,584
439169,438799,92,225,292,584
418636,418267,86,213,243,584
439169,438799,92,225,292,584
460105,459738,97,237,238,573
418636,418267,86,213,243,584
439169,438799,92,225,292,584
460105,459738,97,237,238,573
418636,418267,86,213,243,584
439169,438799,92,225,292,584
460105,459738,97,237,238,573
476242,475871,102,246,309,557
497300,496932,107,259,237,617
517926,517556,113,271,290,581
538539,538170,119,283,291,582
559577,559205,124,295,237,570
575792,575423,128,305,246,616
596852,596482,134,317,284,569
617465,617096,140,329,291,582
638094,637724,146,341,290,581
659116,658749,151,354,237,618
679737,679365,157,366,290,582
696391,696022,162,376,300,600
717011,716641,168,388,290,582
737624,737256,174,400,291,582
758658,758286,179,412,237,570
779269,778901,185,425,291,630
795931,795561,190,434,300,540
816544,816176,196,446,291,582
837166,836796,202,459,290,630
858220,857853,208,471,284,569
878841,878470,214,483,290,582
899894,899527,220,496,285,617
916117,915747,225,505,308,554
936730,936362,231,517,291,582
957792,957420,237,530,284,617
978403,978034,243,542,291,582
999465,999094,249,555,284,617
1020077,1019710,255,567,291,582
1036482,1036110,259,577,243,609
1057710,1057342,266,589,329,565
1078512,1078140,272,601,288,576
1099742,1099374,278,614,282,612
1116140,1115770,283,624,304,609
1136930,1136564,289,637,288,625
1158172,1157801,295,649,282,564
1178963,1178595,302,661,336,577
1195804,1195432,307,671,296,593
1216594,1216225,313,684,288,625
1337857,1337490,350,756,336,577
1359068,1358698,356,769,282,612
1317065,1316695,343,744,288,625
1379860,1379493,363,781,336,577
1396703,1396331,367,791,237,593
1438295,1437923,380,816,288,625
1459500,1459132,387,829,330,612
1475906,1475536,391,838,243,548
1538736,1538367,411,875,336,577
1559950,1559579,417,888,282,612
1576343,1575974,422,898,304,609
1597585,1597214,429,911,329,612
1618379,1618010,435,923,288,577
1576343,1575974,422,898,304,609
1597585,1597214,429,911,329,612
1618379,1618010,435,923,288,577
1639182,1638811,441,935,288,576
1655985,1655618,447,945,356,595
1739621,1739253,472,995,288,576
1756436,1756065,478,1005,356,594
1777325,1776956,484,1018,287,6221798661,1798289,490,1030,281,562
1819544,1819176,497,1043,335,622
1836038,776956,484,1018,287,622
1835668,502,1053,303,606
1857362,1856994,508,1065,281,562
1878254,1877882,1996086,1995715,551,1148,236,590
Test Data Transfer Complete
lt,rt,lp,rp,lv,rv
1996086,1995715,551,1148,236,590
Test Data Transfer Complete
lt,rt,lp,rp,lv,rv
1996086,1995715,551,1148,236,590
Test Data Transfer Complete
lt,rt,lp,rp,lv,rv
510,506,6,13,0,0
20255,19999,8,16,101,153
40872,40620,12,23,194,339
61149,60895,17,33,246,493
81415,81162,23,46,296,641
102133,101879,30,59,337,627
122576,122323,37,73,342,684
143469,143213,45,88,382,718
163910,163659,53,102,391,684
180048,179794,59,114,371,743
201018,200766,67,129,381,715
221556,221300,75,144,389,730
242525,242273,84,160,429,762
263065,262811,92,175,389,730
283593,283340,100,190,389,730
300232,299977,107,202,420,721
320846,320595,115,218,388,776
341909,341655,124,233,427,712
362525,362273,132,248,388,727
383150,382896,141,264,436,775
399776,399524,147,276,360,721
420401,420145,156,291,436,727
441459,441206,164,307,379,759
462083,461829,173,322,436,727
482699,482447,181,337,388,727
503734,503478,190,353,427,760
519953,519702,197,365,431,739
541018,540763,205,380,379,712
561631,561379,214,396,436,776
582254,581998,222,411,387,727
603277,603025,231,427,428,760
623902,623647,240,442,436,727
640558,640305,246,455,360,780
661182,660929,255,470,436,727
681797,681545,264,485,436,727
702830,702576,272,501,380,760
723447,723195,281,516,436,727
740113,739859,288,529,419,780
760728,760475,296,544,388,727
781353,781097,305,560,436,775
802409,802157,313,576,379,759
823036,822782,322,591,436,727
844092,843842,331,606,427,712
860319,860063,337,619,369,801
880931,880680,346,634,436,727
901995,901741,355,650,427,759
922610,922357,364,665,436,727
943674,943418,373,681,427,759
959887,959636,379,693,369,739
980511,980255,388,708,436,727
1001565,1001313,397,724,427,759
1022365,1022110,405,740,384,769
1043597,1043344,414,756,423,753
1059996,1059742,421,768,426,731
1080789,1080536,430,784,432,769
1102031,1101777,438,799,376,706
1122825,1122573,447,815,432,769
1144068,1143813,456,831,423,753
1160460,1160208,463,843,426,731
1181263,1181008,472,859,432,769
1202495,1202242,481,875,423,753
1223295,1223039,489,890,384,721
1240128,1239877,496,903,415,772
1260930,1260675,505,918,432,721
1281722,1281471,514,934,432,769
1302935,1302681,523,950,424,754
1323728,1323476,532,965,432,721
1340573,1340317,538,977,356,712
1361366,1361114,547,993,432,769
1382168,1381914,556,1009,432,769
1403464,1403212,565,1024,422,704
1419954,1419700,572,1037,424,788
1441278,1441026,581,1053,422,750
1462174,1461920,589,1068,382,717
1483057,1482806,598,1084,430,766
1499960,1499706,605,1096,414,710
1520841,1520590,614,1112,431,766
1542174,1541919,623,1128,421,750
1563054,1562804,632,1143,430,718
1583946,1583692,641,1159,430,765
1600838,1600586,648,1171,414,710
1621727,1621472,657,1187,430,766
1643048,1642798,665,1202,375,703
1663941,1663686,674,1218,430,765
1680421,1680168,681,1230,424,728
1701752,1701496,690,1246,422,750
1722632,1722379,699,1261,430,718
1743966,1743711,708,1277,421,750
1760448,1760195,715,1289,424,727
1781337,1781082,724,1304,430,718
1802631,1802378,733,1320,422,751
1823521,1823266,741,1336,382,765
1840442,1840189,748,1348,413,709
1861331,1861075,757,1364,430,766
1882211,1881959,766,1379,431,718
1903510,1903255,775,1395,422,751
1919989,1919738,781,1407,363,728
1941318,1941062,789,1422,375,703
1962199,1961948,798,1437,430,718
1983088,1982834,807,1452,430,718
1999979,1999729,814,1465,414,769
Test Data Transfer Complete
lt,rt,lp,rp,lv,rv
510,507,11,17,0,0
20338,20085,13,19,100,102
41050,40799,17,25,193,289
61326,61072,21,33,197,394
77197,76945,24,41,188,503
97914,97660,29,51,241,482
118184,117932,35,62,295,542
139074,138819,40,74,239,574
159516,159266,45,85,244,538
179966,179710,51,97,293,586
200819,200569,57,109,287,575
221355,221102,62,121,243,584
237928,237676,67,131,301,603
258463,258210,73,143,292,584
278994,278744,79,155,292,584
299973,299718,85,167,286,572
320501,320251,90,179,243,584
341478,341225,97,192,333,619
357609,357359,101,201,247,557
378232,377977,107,213,291,582
399289,399039,113,226,284,617
419912,419656,119,238,290,581
440973,440721,125,251,284,617
457195,456940,130,260,308,554
477810,477559,137,272,339,582
498872,498617,143,285,284,617
519487,519237,149,297,291,581
540550,540297,155,310,284,617
561166,560915,161,322,291,582
577388,577135,166,332,308,616
598445,598196,172,344,285,569
619066,618812,178,356,290,582
640125,639873,185,369,332,617
660744,660489,191,381,290,582
