obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
908.4001,2.815408,96.99189,588.1816
914.7383,2.844297,89.58355,590.4772
920.1829,2.857631,85.78216,591.5867
926.5089,2.884297,78.20914,593.6334
930.7558,2.896519,74.32906,594.6038
937.6671,2.918741,66.63686,596.3917
943.8881,2.929852,62.71664,597.2344
950.4476,2.955408,54.96939,598.7453
955.4254,2.968741,51.04284,599.4308
962.5985,2.996519,43.46155,600.5869
967.4298,3.012075,39.58411,601.0919
973.3848,3.042075,32.00394,601.875
979.9108,3.053186,28.04291,602.2261
986.1464,3.073186,20.04408,602.8131
990.5989,3.079853,15.93286,603.0673
998.2735,3.092075,8.360961,603.4644
1003.851,3.096519,4.252699,603.6497
1010.211,3.109853,-3.878063,603.9399
1015.746,3.120964,-7.801928,604.0209
1022.237,3.145408,-15.50715,604.0353
1027.134,3.15763,-19.51026,603.9711
1033.311,3.188741,-27.39568,603.6299
1040.126,3.204297,-31.44397,603.3758
1045.383,3.234297,-39.36162,602.6982
1051.296,3.250964,-43.25323,602.2709
1058.497,3.285408,-51.15471,601.199
1064.281,3.303186,-55.13123,600.5507
1070.395,3.33763,-62.65695,599.1183
1076.353,3.355408,-66.63882,598.2537
1082.446,3.386519,-74.33418,596.3924
1087.293,3.400964,-78.17484,595.3733
1093.839,3.430964,-85.69479,593.1978
1099.682,3.445408,-89.46383,592.0161
1105.941,3.473186,-96.91609,589.5074
1110.615,3.488741,-100.7794,588.1097
1118.358,3.519853,-107.9121,585.342
1124.157,3.535408,-111.6325,583.7961
1130.255,3.566519,-118.6454,580.6893
1136.213,3.584297,-122.2381,578.986
1142.303,3.615408,-129.2627,575.4517
1147.082,3.630964,-132.7402,573.5996
1152.269,3.666519,-139.6913,569.6601
1159.757,3.684297,-142.9905,567.6703
1166.101,3.714297,-149.7059,563.4117
1170.556,3.729853,-153.1029,561.1458
1178.067,3.763186,-159.6161,556.5628
1183.926,3.77763,-162.8834,554.1503
1190.18,3.80763,-169.1621,549.2863
1196.288,3.820964,-172.3173,546.738
1202.396,3.850964,-178.2073,541.7527
1207.164,3.865408,-181.1824,539.1233
1213.705,3.894297,-186.8159,533.9243
1219.558,3.905408,-189.7702,531.0948
