obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
628.1199,2.016519,276.2521,434.1974
634.1425,2.04763,272.9041,440.813
641.3679,2.063185,270.9846,444.391
647.504,2.09763,267.0224,451.3459
652.5115,2.115407,264.9728,454.7296
655.2599,2.143186,260.7187,461.429
665.3326,2.156519,258.4931,464.7838
670.6074,2.180963,253.8877,471.4563
677.563,2.193185,251.5724,474.6831
683.6735,2.222075,246.7944,481.0521
687.9843,2.236519,244.3233,484.1987
693.8506,2.269852,239.2037,490.3922
701.4144,2.28763,236.5596,493.4261
707.8128,2.326519,231.0959,499.342
712.5115,2.345408,228.2919,502.2072
720.0207,2.384296,222.5678,507.7226
725.5805,2.403185,219.6581,510.3709
731.6195,2.436519,213.7625,515.4626
737.1912,2.448741,210.6784,518.0228
743.8998,2.470963,204.4748,522.9942
748.2163,2.480963,201.392,525.3899
753.9373,2.494297,195.3195,530.0131
761.5938,2.500963,192.0483,532.4518
767.8242,2.516519,185.5394,537.187
772.7448,2.524297,182.2452,539.5253
775.9388,2.540963,176.2409,543.6761
785.4605,2.549852,172.784,545.9995
791.765,2.572074,166.1512,550.3012
797.9504,2.585408,162.7043,552.4439
804.499,2.613185,155.8002,556.5366
808.8232,2.626519,152.4157,558.4524
814.3192,2.652074,145.7335,562.0663
821.7521,2.664297,142.1813,563.9035
827.78,2.685408,135.2631,567.3394
832.6823,2.696519,131.625,569.0747
835.802,2.71763,124.6854,572.2511
845.157,2.72763,120.9334,573.8995
851.765,2.74763,113.5103,577.0093
857.2885,2.759852,109.7441,578.5211
864.059,2.785408,102.2104,581.382
868.3843,2.799852,98.48373,582.7075
873.9511,2.826519,90.94189,585.2211
881.7421,2.839852,87.13477,586.406
887.8554,2.866519,79.51204,588.6104
892.8327,2.879852,75.5553,589.6703
900.0448,2.90763,67.88874,591.5573
905.6799,2.920963,63.94746,592.4412
912.086,2.946519,56.24595,593.9843
917.6703,2.959852,52.2854,594.7121
923.8454,2.984297,44.43377,596.006
928.3837,2.996519,40.51891,596.578
934.1795,3.023185,32.94164,597.5326
941.9189,3.035408,28.91156,597.9621
948.0841,3.05763,21.10292,598.6619
952.9971,3.068741,17.09418,598.9543
956.1116,3.08763,9.250623,599.4138
965.5305,3.094296,5.324636,599.5996
971.179,3.113185,-2.738243,599.8509
977.6046,3.126519,-6.79771,599.9121
983.9388,3.158741,-14.58912,599.8418
989.008,3.175408,-18.5711,599.7071
995.6047,3.20763,-26.28956,599.2646
1002.009,3.224297,-29.97062,598.9595
1008.252,3.252074,-37.19203,598.2112
1013.123,3.264297,-40.77218,597.7697
1019.945,3.284297,-49.16695,596.6171
1025.175,3.295408,-53.03017,596.0181
1031.251,3.313185,-60.72157,594.6987
1037.924,3.322074,-64.78925,593.9565
1044.328,3.339852,-72.39607,592.462
1048.703,3.349852,-76.32692,591.6313
1056.288,3.373185,-84.06882,589.8558
1062.072,3.386519,-87.95368,588.8848
1068.247,3.412074,-95.50973,586.8381
1073.841,3.425408,-99.3457,585.7192
1080.322,3.455408,-106.778,583.3682
1085.16,3.468741,-110.5746,582.0798
1092.471,3.49763,-117.8721,579.3872
1097.792,3.512074,-121.5871,577.9442
1104.275,3.538741,-128.3946,575.1349
1108.495,3.550963,-131.959,573.5884
1111.386,3.579852,-139.1077,570.2998
1121.989,3.595408,-142.7035,568.5458
1128.161,3.626519,-149.7251,564.9156
1133.253,3.640963,-153.2424,562.997
1140.171,3.670963,-159.897,559.1739
1145.567,3.68763,-163.4055,557.0419
1150.274,3.722074,-170.0012,552.7977
1157.861,3.740963,-173.2953,550.5471
1164.187,3.773185,-179.6642,545.9616
1168.569,3.78763,-182.8724,543.5427
1176.158,3.819852,-188.8282,538.8282
1181.81,3.834296,-191.6505,536.486
1188.115,3.862074,-197.6064,531.3235
1194.079,3.873185,-200.6022,528.6339
1200.168,3.895408,-206.4693,523.1874
1205.032,3.906519,-209.3091,520.4615
1210.221,3.932074,-214.5397,515.2521
1217.82,3.945408,-217.4064,512.2779
1223.194,3.974297,-222.6836,506.5637
1229.048,3.989852,-225.1373,503.7804
1236.157,4.020963,-230.2844,497.6614
1242.017,4.03874,-232.764,494.5549
1248.262,4.072073,-237.5666,488.2192
1254.168,4.08874,-239.8391,485.0605
1260.408,4.120962,-244.2905,478.5538
1265.051,4.136518,-246.4702,475.1967
1270.297,4.164295,-250.386,468.8849
1277.755,4.176517,-252.4664,465.3815
1283.127,4.196517,-256.3883,458.5389
1288.9,4.204295,-258.2518,455.1924
1295.879,4.226518,-261.9651,448.2548
1301.731,4.23874,-263.8178,444.6401
1308.147,4.259851,-267.2003,437.7707
1314.389,4.272074,-268.9708,434.0129
1319.575,4.300962,-272.1483,426.8766
1325.888,4.314296,-273.6475,423.3118
1331.66,4.337629,-276.4841,416.208
1337.668,4.345407,-277.9267,412.4551
1343.142,4.365407,-280.5004,405.4525
1348.771,4.376518,-281.6753,402.0871
1356.252,4.400963,-284.1653,394.5431
1362.041,4.416518,-285.2892,390.856
1367.827,4.444296,-287.3249,383.5427
1373.902,4.457629,-288.3412,379.64
1379.139,4.482074,-290.2126,371.8782
1385.51,4.502074,-291.0283,368.0572
1390.244,4.519852,-292.5832,360.3083
1397.501,4.529852,-293.2934,356.4608
1403.0,4.54763,-294.5677,349.0103
1408.702,4.552074,-295.1466,345.4303
1416.252,4.574297,-296.2175,338.0904
1422.01,4.589852,-296.6722,334.398
1428.581,4.618741,-297.437,326.5315
1434.261,4.633185,-297.7493,322.5966
1439.377,4.660963,-298.1881,315.1713
1445.54,4.678741,-298.3239,311.1374
1450.391,4.696519,-298.4954,303.4297
1457.528,4.709852,-298.506,299.2799
1464.152,4.730964,-298.399,291.5761
1468.602,4.735408,-298.3051,287.5001
1476.267,4.75763,-298.0248,280.2355
1481.646,4.772075,-297.8036,276.5338
1488.042,4.803186,-297.0884,268.2678
1493.885,4.819853,-296.6665,264.3568
1499.615,4.853186,-295.6541,256.7821
1505.911,4.868742,-295.0634,253.0349
1507.531,4.885408,-293.7581,245.3216
1517.654,4.898742,-293.033,241.4755
1523.096,4.923186,-291.4672,233.9309
1528.78,4.934298,-290.626,230.2026
1535.768,4.952075,-288.868,222.8846
1540.947,4.959853,-287.9001,219.0534
1547.556,4.978742,-285.7971,211.2622
1553.147,4.989853,-284.6925,207.384
1558.863,5.015409,-282.3121,199.5887
1565.22,5.028742,-281.0413,195.7066
1567.969,5.05652,-278.5824,188.6871
1577.48,5.068742,-277.2799,185.188
1584.085,5.098742,-274.3675,177.8628
1589.295,5.11652,-272.7594,174.1027
1596.012,5.150965,-269.4988,167.0007
1600.851,5.165409,-267.7659,163.4408
1608.03,5.200965,-264.1354,156.5335
1613.521,5.217631,-262.2427,153.1116
1618.946,5.250965,-258.4137,146.5746
1625.329,5.267632,-256.5014,143.492
1627.933,5.298742,-252.4489,137.2877
1637.988,5.31652,-250.2,134.0295
1643.765,5.350965,-245.4987,127.5923
1649.455,5.364298,-243.1377,124.4989
1656.158,5.387631,-238.3519,118.4539
1661.853,5.395409,-236.0188,115.5865
1668.042,5.410965,-230.849,109.4069
1674.028,5.420965,-228.2931,106.4248
1679.185,5.443188,-223.3159,100.8084
1685.481,5.456521,-220.823,98.10069
1688.084,5.492077,-215.4577,92.58042
1697.677,5.508744,-212.6537,89.83722
1703.322,5.537632,-206.9929,84.53838
1709.483,5.549855,-204.2496,82.0669
1715.658,5.566521,-198.6404,77.14749
1720.964,5.573188,-195.7592,74.67102
1727.055,5.58541,-189.9742,69.79282
1733.789,5.598743,-186.8063,67.20767
1739.098,5.630966,-180.5692,62.35733
1745.407,5.648744,-177.5384,60.12685
1747.869,5.686522,-171.2642,55.77739
1757.829,5.707633,-167.761,53.50441
1763.851,5.746521,-160.9988,49.39926
1770.005,5.760966,-157.5521,47.41564
1776.099,5.778743,-150.8477,43.67988
1781.792,5.78541,-147.5367,41.88062
1783.853,5.799854,-141.1383,38.48935
1794.026,5.810966,-137.7558,36.7617
1799.184,5.836521,-131.0444,33.48788
1805.664,5.849854,-127.9019,32.03395
1808.175,5.87541,-120.9938,28.99812
1817.693,5.890965,-117.3637,27.49652
1824.246,5.922076,-110.022,24.65855
1829.71,5.937632,-106.2304,23.2936
1836.114,5.962076,-99.16843,20.8971
1841.421,5.97541,-95.33492,19.67851
1846.359,6.006521,-87.91301,17.50155
1853.796,6.023188,-84.10107,16.4875
1860.1,6.05541,-76.61648,14.68998
1865.499,6.066521,-72.92469,13.87735
1868.175,6.088744,-65.65652,12.3993
1877.496,6.103188,-61.68972,11.67747
1884.029,6.12541,-53.92781,10.40692
1889.727,6.13541,-50.06419,9.831776
1895.873,6.154299,-42.66451,8.836884
1901.531,6.164299,-38.95682,8.394004
1903.507,6.186522,-30.91221,7.564047
1914.058,6.199855,-26.64603,7.20772
1919.202,6.227633,-19.02984,6.731893
1925.514,6.240966,-15.31027,6.574761
1928.24,6.264152,-7.444918,6.381299
1937.714,6.276374,-3.540364,6.354703
1943.576,6.303041,4.234994,6.482326
